SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude
2120769,2.51998,2.4615,2.41084,2.36545,2.32299,2.28346,2.24635,2.21411,2.19106,2.18053,2.18568,2.20649,2.2309,2.23756,2.2215,2.20317,2.21003,2.26128,2.35422,2.45775,2.52534,2.545,2.53603,2.51033,2.47394,2.43385,2.39469,2.35673,2.31943,2.28591,2.25901,2.24026,2.23079,2.23218,2.25408,2.32026,2.45189,2.61992,13.4,9.5,N,N,N,N,N,N,N,N
2141338,1.97153,1.92643,1.88979,1.85974,1.83289,1.80929,1.78779,1.77046,1.76308,1.77011,1.79561,1.83892,1.88572,1.91176,1.91038,1.90575,1.93115,2.00642,2.1235,2.24594,2.32714,2.35424,2.3474,2.32176,2.28448,2.24315,2.20295,2.16448,2.1272,2.0951,2.07077,2.05581,2.05103,2.05764,2.08544,2.16083,2.30504,2.4868,12.03,10.88,N,N,N,N,N,N,N,N
2140252,1.81408,1.77555,1.74464,1.72012,1.69769,1.67754,1.65891,1.6442,1.63844,1.6456,1.66886,1.70786,1.74954,1.77176,1.76862,1.76228,1.78185,1.8461,1.94967,2.0615,2.13706,2.16342,2.15938,2.13801,2.10532,2.06836,2.03224,1.9975,1.96385,1.93463,1.91218,1.89803,1.89298,1.89832,1.92277,1.99068,2.12154,2.2894,13.04,10.94,N,N,N,N,N,N,N,N
214038,1.92914,1.88812,1.85329,1.82097,1.79194,1.76911,1.74471,1.71807,1.70078,1.69858,1.71253,1.74268,1.77536,1.78834,1.77447,1.75417,1.75561,1.79998,1.88985,1.99832,2.07467,2.10203,2.09993,2.07984,2.04719,2.00988,1.97297,1.93665,1.89959,1.86495,1.83743,1.81767,1.80664,1.80649,1.82477,1.88831,2.01517,2.1873,14.6,7.7,N,N,N,N,N,N,N,N
2120299,1.95516,1.91202,1.87621,1.84651,1.81899,1.7939,1.77044,1.75136,1.74123,1.74394,1.76268,1.79753,1.83589,1.85622,1.85208,1.84447,1.86283,1.92684,2.03199,2.14534,2.21971,2.24287,2.23459,2.20906,2.17377,2.13549,2.09896,2.06425,2.03051,2.00086,1.97794,1.96302,1.95704,1.96169,1.98603,2.05365,2.18523,2.35637,10.9,10.4,N,N,N,N,N,N,N,N
2120304,1.90619,1.86285,1.82717,1.79795,1.7713,1.74716,1.72501,1.7074,1.69881,1.70339,1.72428,1.76115,1.80137,1.82316,1.82054,1.81519,1.83704,1.90473,2.01134,2.12366,2.19745,2.22092,2.21339,2.18858,2.15344,2.11495,2.07784,2.04249,2.00849,1.97904,1.95664,1.9429,1.93836,1.94433,1.97004,2.03956,2.17448,2.34928,11.7,11.2,N,N,N,N,N,N,N,N
2140216,1.89488,1.85383,1.82043,1.79316,1.76824,1.74573,1.72482,1.70793,1.70026,1.70661,1.73065,1.77147,1.81592,1.84064,1.83751,1.82994,1.85047,1.91972,2.03248,2.15397,2.23537,2.26248,2.2551,2.22901,2.19221,2.15224,2.11375,2.07725,2.04183,2.01096,1.98694,1.97114,1.96463,1.96904,1.99405,2.0641,2.20018,2.37548,9.65,11.13,N,N,N,N,N,N,N,N
W3A16Q3,2.54406,2.49974,2.46265,2.43163,2.40339,2.37875,2.35618,2.33723,2.32791,2.33273,2.35602,2.39687,2.4416,2.46586,2.45998,2.44531,2.45491,2.51319,2.6201,2.74599,2.8374,2.87223,2.87036,2.8474,2.8106,2.76827,2.72561,2.68486,2.64394,2.6073,2.579,2.55947,2.55175,2.55741,2.58752,2.67434,2.8337,3.03473,12.7,9.7,N,N,N,N,N,N,N,N
W7A15Q4,2.03826,2.0016,1.97277,1.94501,1.92239,1.90673,1.88744,1.86357,1.84885,1.84923,1.86513,1.89554,1.92878,1.94452,1.93806,1.92924,1.94411,2.00253,2.10157,2.20735,2.27052,2.28314,2.26917,2.24153,2.20552,2.16796,2.13299,2.10008,2.06587,2.03416,2.00947,1.99275,1.98487,1.9879,2.01,2.07576,2.20609,2.37891,12.6,9.5,N,N,N,N,N,N,N,N
2120762,2.17497,2.12251,2.0782,2.04023,2.00545,1.97404,1.94484,1.92019,1.90524,1.90388,1.91977,1.95247,1.98848,2.00498,1.99721,1.98825,2.00786,2.07456,2.18021,2.29121,2.36407,2.38747,2.38053,2.3561,2.32,2.27963,2.24005,2.20175,2.16457,2.1324,2.10812,2.09299,2.08793,2.09403,2.12122,2.19498,2.33647,2.5147,13.8,11.4,N,N,N,N,N,N,N,N
