SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,Exclude
6R2,1.8971,1.9267,1.9643,2.0074,2.0544,2.1023,2.1457,2.186,2.2259,2.2673,2.311,2.3528,2.3895,2.4277,2.4806,2.5565,2.664,2.7806,2.8474,2.8601,2.8432,2.8086,2.7643,2.7156,2.6673,2.6231,2.5848,2.5531,2.5292,2.5139,2.5071,2.5083,2.516,2.5309,2.5683,2.663,2.8373,3.0328,3.4,71.1,91.2,CL,Y,Y
9R2,1.9124,1.915,1.9332,1.9625,1.999,2.0378,2.0723,2.1044,2.1375,2.1734,2.2126,2.2514,2.2863,2.324,2.379,2.4611,2.5797,2.7096,2.7812,2.789,2.7627,2.7163,2.6595,2.5984,2.5383,2.4842,2.4383,2.4018,2.3761,2.3624,2.3605,2.3696,2.3868,2.4123,2.4624,2.576,2.778,2.9999,3,73.7,94.4,CL,N,N
23R2,1.9159,1.9309,1.9576,1.9919,2.0317,2.0718,2.1065,2.1398,2.1762,2.2194,2.2717,2.3268,2.3831,2.448,2.5153,2.5707,2.6503,2.7605,2.8286,2.8397,2.8211,2.7865,2.7443,2.697,2.6483,2.6017,2.5551,2.5122,2.4799,2.4619,2.4573,2.4656,2.4858,2.5184,2.5798,2.7102,2.9357,3.187,30.6,53.5,69.9,CL,Y,Y
24R2,1.9166,1.9146,1.9299,1.9568,1.9913,2.0277,2.0589,2.0889,2.122,2.1616,2.2095,2.2602,2.3115,2.3705,2.4351,2.496,2.5834,2.6971,2.7641,2.7715,2.7479,2.7075,2.659,2.6059,2.5524,2.5024,2.4548,2.4128,2.3821,2.3661,2.3643,2.3753,2.3979,2.4318,2.4935,2.6238,2.848,3.0963,30.6,53.5,69.9,CL,Y,Y
1R2,1.9245,1.9193,1.9329,1.9595,1.9951,2.0334,2.0672,2.0987,2.1316,2.1677,2.2078,2.2474,2.2825,2.3202,2.3751,2.457,2.5748,2.7031,2.773,2.7797,2.7524,2.7049,2.6469,2.5844,2.523,2.4678,2.4211,2.384,2.358,2.3447,2.3438,2.3542,2.3733,2.4014,2.4551,2.5727,2.7773,2.9993,3,73.4,94,CL,N,N
22R2,1.9302,1.9299,1.946,1.9738,2.01,2.0478,2.08,2.1101,2.1435,2.1835,2.232,2.2826,2.333,2.3904,2.4537,2.5145,2.603,2.7166,2.782,2.7882,2.7638,2.7232,2.6752,2.623,2.571,2.5225,2.4764,2.4357,2.406,2.3905,2.3884,2.3993,2.4217,2.456,2.5191,2.6503,2.8738,3.12,25.2,57,74.2,CL,Y,Y
24R1,1.9379,1.9335,1.9471,1.9727,2.0068,2.0431,2.0741,2.1039,2.1371,2.1775,2.2266,2.2784,2.3304,2.3901,2.4558,2.5179,2.6078,2.7249,2.7936,2.801,2.7764,2.7345,2.6843,2.629,2.5736,2.5215,2.472,2.4284,2.3969,2.3808,2.3794,2.3922,2.417,2.4544,2.5213,2.6586,2.8917,3.1463,8.9,56.6,73.7,CL,Y,Y
23R1,1.9417,1.9536,1.9789,2.0128,2.0524,2.0925,2.1274,2.1612,2.1985,2.2427,2.296,2.3524,2.4095,2.4753,2.5441,2.6006,2.681,2.7927,2.8622,2.874,2.8554,2.8205,2.7776,2.7293,2.6797,2.6322,2.5849,2.5414,2.5089,2.491,2.487,2.4958,2.5169,2.5508,2.6135,2.7461,2.9743,3.2281,30.6,53.5,69.9,CL,Y,Y
15R1,1.9453,1.9531,1.9754,2.0077,2.0468,2.0878,2.1242,2.1581,2.193,2.231,2.2731,2.3149,2.3531,2.3945,2.4496,2.5242,2.6317,2.7524,2.8208,2.8311,2.8092,2.7675,2.7147,2.6563,2.5976,2.5435,2.4961,2.4567,2.4281,2.4116,2.4072,2.4137,2.4288,2.4525,2.5009,2.6128,2.8108,3.0297,9,69.8,89.7,CL,N,N
14R1,1.9513,1.9425,1.9546,1.9813,2.0173,2.0558,2.0896,2.1213,2.1547,2.1922,2.2345,2.2769,2.3156,2.3571,2.4119,2.4858,2.5914,2.7095,2.7732,2.7767,2.7483,2.7018,2.6465,2.5873,2.5294,2.4767,2.4309,2.3933,2.3663,2.3514,2.3488,2.3573,2.3751,2.4022,2.4546,2.5694,2.7703,2.9893,10.8,69.1,88.8,CL,N,N
