SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Cal4,Product,Date,Time,SensTemp,SampTemp,ScanColour,Exclude,Exclude,
50C15A,2.38860,2.40060,2.41860,2.45310,2.50090,2.55160,2.58800,2.61700,2.65310,2.70580,2.77880,2.86280,2.95810,3.07220,3.17440,3.22030,3.30250,3.44550,3.53960,3.55740,3.53490,3.49160,3.43850,3.37460,3.30550,3.23450,3.15560,3.07720,3.01500,2.97950,2.96910,2.98290,3.01960,3.07770,3.17700,3.36900,3.68860,4.02360,42.55000,44.90000,57.45000,48.60000,50CL,7/12/2011,9:57:46,57.45,45.00,44,N,N,
50C13A,2.52840,2.51210,2.51810,2.54900,2.59540,2.64590,2.68470,2.71760,2.75770,2.81290,2.88630,2.96710,3.05540,3.15730,3.24620,3.28750,3.35940,3.47980,3.55470,3.56420,3.54000,3.49890,3.45020,3.39400,3.33480,3.27550,3.21080,3.14740,3.09760,3.06970,3.06190,3.07350,3.10320,3.15130,3.23550,3.40410,3.69440,4.02220,42.45000,45.05000,57.55000,44.20000,50,7/13/2011,11:56:55,57.55,45.25,44,N,N,
50B32A,2.17480,2.18770,2.20360,2.23330,2.27470,2.31890,2.35030,2.37420,2.40370,2.44660,2.50580,2.57260,2.64720,2.73730,2.82290,2.87360,2.96080,3.09680,3.18150,3.19420,3.16910,3.12430,3.06990,3.00680,2.93990,2.87260,2.80100,2.73160,2.67680,2.64570,2.63740,2.65110,2.68590,2.74040,2.83300,3.01150,3.30910,3.63040,59.15000,47.50000,40.85000,47.50000,50CL,7/12/2011,2:26:20,40.85,47.55,47,Y,Y,
50B23A,2.23370,2.24990,2.27000,2.30490,2.35010,2.39540,2.42720,2.45210,2.48460,2.53410,2.60500,2.68680,2.78240,2.89790,2.98660,2.99080,3.02320,3.11830,3.18370,3.19590,3.18060,3.15290,3.12030,3.07860,3.03090,2.97780,2.91050,2.83830,2.77820,2.74130,2.72550,2.73040,2.75720,2.80540,2.89260,3.06540,3.35730,3.68050,51.50000,38.32500,48.50000,36.00000,50CL,7/11/2011,2:01:23,48.50,37.85,38,N,N,
50B23A,2.14270,2.15040,2.16550,2.19570,2.23600,2.27700,2.30530,2.32750,2.35690,2.40220,2.46740,2.54300,2.63100,2.73710,2.81830,2.82280,2.85210,2.93880,2.99550,3.00110,2.98190,2.95330,2.92250,2.88570,2.84440,2.79920,2.74130,2.67880,2.62720,2.59590,2.58330,2.58930,2.61510,2.66060,2.74220,2.90380,3.17900,3.49550,54.15000,36.37500,45.85000,36.60000,50,7/14/2011,12:17:49,45.85,36.60,36,N,N,
50B22A,2.23890,2.25090,2.26720,2.29890,2.34250,2.38740,2.41820,2.44190,2.47310,2.52160,2.59130,2.67160,2.76500,2.87920,2.97400,2.99970,3.05940,3.18050,3.25940,3.27180,3.25020,3.21290,3.16900,3.11630,3.05900,2.99870,2.92800,2.85600,2.79850,2.76570,2.75610,2.76910,2.80470,2.86180,2.95900,3.14560,3.45420,3.78520,46.20000,42.20000,53.80000,42.90000,50CL,7/12/2011,10:51:43,53.80,41.90,42,N,N,
50B20A,2.34800,2.36130,2.38370,2.42150,2.47080,2.52140,2.55870,2.58910,2.62710,2.68210,2.75850,2.84510,2.94440,3.06320,3.15810,3.17750,3.22760,3.34010,3.41530,3.42780,3.40840,3.37450,3.33500,3.28710,3.23410,3.17740,3.10900,3.03790,2.98020,2.94570,2.93270,2.94050,2.96970,3.02000,3.10980,3.28800,3.59110,3.92870,48.80000,40.30000,51.20000,40.50000,50,7/13/2011,12:19:23,51.20,40.10,40,N,N,
50B15A,2.30630,2.32390,2.34600,2.38210,2.42970,2.47920,2.51480,2.54230,2.57610,2.62460,2.69200,2.76920,2.85790,2.96480,3.05810,3.09600,3.16810,3.29650,3.37800,3.38850,3.36290,3.32010,3.27070,3.21300,3.15120,3.08780,3.01620,2.94450,2.88660,2.85240,2.84050,2.85040,2.88160,2.93320,3.02450,3.20500,3.51190,3.85020,44.00000,43.87500,56.00000,45.20000,50,7/15/2011,10:34:09,56.00,43.60,44,N,N,
50BMIX34A,1.98310,1.98970,1.99960,2.02380,2.05900,2.09640,2.12210,2.14110,2.16630,2.20550,2.26190,2.32570,2.39710,2.48270,2.55790,2.58990,2.65260,2.76210,2.83240,2.84540,2.82800,2.79510,2.75520,2.70750,2.65560,2.60250,2.54270,2.48300,2.43570,2.40940,2.40320,2.41650,2.44900,2.50000,2.58550,2.74900,3.01950,3.31880,45.10000,43.00000,54.90000,46.00000,CL,7/20/2011,2:29:32,0.00,0.00,65280,N,N,
50MIX34B,1.94350,1.94950,1.95920,1.98300,2.01750,2.05410,2.07890,2.09700,2.12110,2.15860,2.21250,2.27420,2.34460,2.42920,2.50220,2.53140,2.59080,2.69570,2.76150,2.77150,2.75260,2.71990,2.68150,2.63640,2.58790,2.53810,2.48190,2.42540,2.38060,2.35570,2.34980,2.36250,2.39360,2.44220,2.52450,2.68250,2.94680,3.24260,45.10000,43.00000,54.90000,45.60000,CL,7/20/2011,2:31:32,0.00,0.00,65280,N,N,
