SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Cal4,Product,Date,Time,SensTemp,SampTemp,ScanColour,Exclude
50B23A,2.1427,2.1504,2.1655,2.1957,2.236,2.277,2.3053,2.3275,2.3569,2.4022,2.4674,2.543,2.631,2.7371,2.8183,2.8228,2.8521,2.9388,2.9955,3.0011,2.9819,2.9533,2.9225,2.8857,2.8444,2.7992,2.7413,2.6788,2.6272,2.5959,2.5833,2.5893,2.6151,2.6606,2.7422,2.9038,3.179,3.4955,54.15,36.375,45.85,36.6,50 CL BEEF,7/14/2011,12:17:49 PM,45.85,36.6,36.15,
50B22A,2.2389,2.2509,2.2672,2.2989,2.3425,2.3874,2.4182,2.4419,2.4731,2.5216,2.5913,2.6716,2.765,2.8792,2.974,2.9997,3.0594,3.1805,3.2594,3.2718,3.2502,3.2129,3.169,3.1163,3.059,2.9987,2.928,2.856,2.7985,2.7657,2.7561,2.7691,2.8047,2.8618,2.959,3.1456,3.4542,3.7852,46.2,42.2,53.8,42.9,50CL BEEF,7/12/2011,10:51:43 AM,53.8,41.9,42.5,
50B20A,2.348,2.3613,2.3837,2.4215,2.4708,2.5214,2.5587,2.5891,2.6271,2.6821,2.7585,2.8451,2.9444,3.0632,3.1581,3.1775,3.2276,3.3401,3.4153,3.4278,3.4084,3.3745,3.335,3.2871,3.2341,3.1774,3.109,3.0379,2.9802,2.9457,2.9327,2.9405,2.9697,3.02,3.1098,3.288,3.5911,3.9287,48.8,40.3,51.2,40.5,50 CL BEEF,7/13/2011,12:19:23 PM,51.2,40.1,40.5,
50B15A,2.3063,2.3239,2.346,2.3821,2.4297,2.4792,2.5148,2.5423,2.5761,2.6246,2.692,2.7692,2.8579,2.9648,3.0581,3.096,3.1681,3.2965,3.378,3.3885,3.3629,3.3201,3.2707,3.213,3.1512,3.0878,3.0162,2.9445,2.8866,2.8524,2.8405,2.8504,2.8816,2.9332,3.0245,3.205,3.5119,3.8502,44,43.875,56,45.2,50 CL BEEF,7/15/2011,10:34:09 AM,56,43.6,44.15,
50BMIX34A,1.9831,1.9897,1.9996,2.0238,2.059,2.0964,2.1221,2.1411,2.1663,2.2055,2.2619,2.3257,2.3971,2.4827,2.5579,2.5899,2.6526,2.7621,2.8324,2.8454,2.828,2.7951,2.7552,2.7075,2.6556,2.6025,2.5427,2.483,2.4357,2.4094,2.4032,2.4165,2.449,2.5,2.5855,2.749,3.0195,3.3188,45.1,43,54.9,46,CL 50 BEEF,7/20/2011,2:29:32 PM,,,,
50MIX34B,1.9435,1.9495,1.9592,1.983,2.0175,2.0541,2.0789,2.097,2.1211,2.1586,2.2125,2.2742,2.3446,2.4292,2.5022,2.5314,2.5908,2.6957,2.7615,2.7715,2.7526,2.7199,2.6815,2.6364,2.5879,2.5381,2.4819,2.4254,2.3806,2.3557,2.3498,2.3625,2.3936,2.4422,2.5245,2.6825,2.9468,3.2426,45.1,43,54.9,45.6,CL 50 BEEF,7/20/2011,2:31:32 PM,,,,
50COW20B,2.2366,2.2529,2.2725,2.3064,2.3507,2.3965,2.4299,2.4558,2.4876,2.5334,2.5965,2.6669,2.746,2.8406,2.9209,2.9491,3.0082,3.1178,3.1886,3.2012,3.1829,3.1489,3.1073,3.0568,3.0018,2.9442,2.8781,2.8109,2.7556,2.7219,2.7086,2.7151,2.7419,2.7885,2.8731,3.0411,3.3245,3.6404,44.8,43.25,55.2,41.6,CL 50 BEEF,7/21/2011,10:55:29 AM,55.2,43.5,43,
50COW20A,2.2569,2.2734,2.2932,2.3274,2.3724,2.4189,2.4526,2.4788,2.511,2.5572,2.6209,2.6928,2.7747,2.873,2.9568,2.9871,3.0489,3.1628,3.2362,3.2485,3.2285,3.1921,3.1481,3.0953,3.0379,2.978,2.9097,2.8404,2.7836,2.749,2.7354,2.7422,2.7693,2.8159,2.9006,3.0701,3.3584,3.6797,44.8,43.25,55.2,42.1,CL 50 BEEF,7/21/2011,10:52:53 AM,55.2,43.5,43,
50BMIX34A,1.9831,1.9897,1.9996,2.0238,2.059,2.0964,2.1221,2.1411,2.1663,2.2055,2.2619,2.3257,2.3971,2.4827,2.5579,2.5899,2.6526,2.7621,2.8324,2.8454,2.828,2.7951,2.7552,2.7075,2.6556,2.6025,2.5427,2.483,2.4357,2.4094,2.4032,2.4165,2.449,2.5,2.5855,2.749,3.0195,3.3188,45.1,43,54.9,46,CL 50 BEEF,7/20/2011,2:29:32 PM,54.9,43,43,
50B35B,1.7316,1.7335,1.7396,1.7605,1.7906,1.8215,1.842,1.8568,1.8774,1.9109,1.9599,2.0164,2.0826,2.1628,2.2234,2.2249,2.2445,2.3065,2.3491,2.3583,2.3503,2.3348,2.3164,2.2924,2.2645,2.2334,2.1924,2.1478,2.1112,2.0904,2.0841,2.0916,2.1141,2.1514,2.2165,2.3437,2.5583,2.8099,52.6,37.5,47.4,36.6,CL 50 BEEF,7/21/2011,1:25:05 PM,47.4,37.5,37.5,
50B35B,1.7788,1.7785,1.7834,1.8045,1.8355,1.8672,1.8883,1.9034,1.9248,1.9599,2.0114,2.07,2.1378,2.2199,2.2818,2.2845,2.3081,2.3753,2.4205,2.4298,2.4206,2.4033,2.3826,2.356,2.3256,2.292,2.2487,2.2022,2.1643,2.143,2.137,2.1456,2.17,2.2102,2.2799,2.4142,2.6387,2.8996,52.6,37.5,47.4,37,CL 50 BEEF,7/21/2011,1:27:34 PM,47.4,37.5,37.5,
50B35A,1.7409,1.7412,1.7469,1.7674,1.7971,1.8277,1.8483,1.8636,1.885,1.9195,1.9701,2.0276,2.0942,2.1746,2.2354,2.2363,2.2555,2.318,2.3613,2.3707,2.3627,2.3469,2.3282,2.3037,2.2753,2.2436,2.202,2.1568,2.1199,2.099,2.0928,2.1007,2.124,2.1628,2.23,2.3598,2.5767,2.8311,52.6,37.5,47.4,36.7,CL 50 BEEF,7/21/2011,1:23:13 PM,47.4,37.5,37.5,
50B34B,1.7435,1.7465,1.7535,1.7737,1.8022,1.8305,1.8487,1.862,1.8828,1.9192,1.9748,2.0399,2.1178,2.2126,2.2767,2.2558,2.2503,2.2985,2.3369,2.3466,2.3424,2.3337,2.3242,2.3089,2.2881,2.2616,2.2202,2.1715,2.1308,2.107,2.0984,2.1043,2.1269,2.1666,2.2356,2.3683,2.5908,2.854,60.7,31.5,39.3,31.5,CL 50 BEEF,7/21/2011,1:20:47 PM,39.3,31,32,
50B34A,1.7351,1.7379,1.7443,1.7654,1.7948,1.8233,1.8411,1.8541,1.8748,1.9117,1.9683,2.0341,2.1126,2.2081,2.2705,2.2438,2.2328,2.2766,2.3122,2.3216,2.3188,2.3125,2.306,2.2936,2.2757,2.2516,2.2115,2.1636,2.1231,2.0993,2.0903,2.0958,2.1184,2.1585,2.2286,2.362,2.584,2.8463,60.7,31.5,39.3,30.4,CL 50 BEEF,7/21/2011,1:18:25 PM,39.3,31,32,
50B20A,2.2222,2.2064,2.2059,2.2286,2.2661,2.3062,2.3331,2.3533,2.3819,2.4281,2.4954,2.573,2.6633,2.7724,2.8605,2.8834,2.9387,3.0492,3.1178,3.1238,3.0987,3.0596,3.0153,2.964,2.9094,2.8531,2.7881,2.7227,2.6715,2.6442,2.6391,2.6551,2.692,2.7487,2.8429,3.0215,3.3168,3.6375,100,0,0,40.6,50 CL BEEF,7/20/2011,12:17:23 PM,,,,
50B19A,2.4925,2.5157,2.5446,2.5867,2.6398,2.6951,2.7369,2.7711,2.8123,2.8698,2.9479,3.036,3.1351,3.2531,3.3537,3.3888,3.4575,3.5907,3.6818,3.7007,3.6811,3.6418,3.5926,3.5323,3.4654,3.3949,3.314,3.2317,3.1645,3.1235,3.1069,3.1139,3.1444,3.197,3.292,3.4808,3.7988,4.137,45.25,42.9,54.75,41.5,50 CL BEEF,7/18/2011,12:05:51 PM,54.75,43,42.8,
50B19A,2.3126,2.3283,2.3498,2.3857,2.4324,2.48,2.5137,2.5406,2.5754,2.6278,2.7023,2.789,2.8904,3.0133,3.1117,3.125,3.1663,3.2743,3.3492,3.3633,3.3461,3.3146,3.2774,3.2308,3.1782,3.1211,3.0505,2.9759,2.915,2.8786,2.8646,2.872,2.9018,2.9524,3.0425,3.2205,3.5214,3.8536,49.5,39.825,50.5,42.1,50 CL BEEF,7/19/2011,12:21:03 PM,50.5,39.2,40.45,
