SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,Exclude,Exclude,Exclude
85P6A,1.9035,1.8643,1.8393,1.84,1.8602,1.8883,1.9052,1.9142,1.9275,1.9512,1.985,2.021,2.0561,2.102,2.1753,2.2837,2.4468,2.6289,2.7269,2.7363,2.6991,2.6343,2.5545,2.4669,2.3805,2.303,2.2378,2.188,2.1574,2.1509,2.1679,2.2062,2.2606,2.3283,2.4275,2.6031,2.8831,3.1698,4.3,74.525,95.7,65.4,Y,Y,Y,Y
95B22A,1.8372,1.8031,1.7885,1.7998,1.8275,1.861,1.8855,1.9027,1.9222,1.9478,1.9793,2.0109,2.0384,2.0697,2.1215,2.2035,2.3252,2.4527,2.5168,2.5188,2.4865,2.4337,2.3698,2.301,2.2339,2.174,2.124,2.0851,2.0586,2.0474,2.0519,2.0703,2.0997,2.1391,2.2039,2.3309,2.5464,2.7874,4.4,74.5,95.6,CL,N,N,N,N
95B24A,1.9524,1.9741,1.9988,2.0363,2.0837,2.1344,2.1746,2.2056,2.2366,2.2713,2.3099,2.3472,2.3803,2.4176,2.4743,2.559,2.684,2.8185,2.8918,2.9026,2.8791,2.8348,2.7793,2.7184,2.658,2.603,2.5555,2.5165,2.4869,2.4695,2.4648,2.4716,2.4877,2.5131,2.5637,2.6784,2.888,3.1339,4.4,74.5,95.6,CL,Y,Y,Y,Y
95B25A,1.8174,1.8011,1.7955,1.8091,1.8365,1.8688,1.8922,1.9081,1.9259,1.9493,1.978,2.0064,2.0307,2.0596,2.1103,2.1926,2.3173,2.4505,2.5198,2.5252,2.4956,2.4447,2.3823,2.3145,2.2477,2.1875,2.1368,2.0968,2.069,2.0566,2.0602,2.0782,2.1078,2.1481,2.2145,2.3455,2.5676,2.8163,4.5,74.5,95.6,CL,N,N,N,N
95B2A,1.6997,1.711,1.721,1.7433,1.7757,1.8119,1.8391,1.8585,1.8787,1.9033,1.9321,1.9594,1.982,2.0086,2.0557,2.1332,2.2513,2.3785,2.4502,2.4657,2.4488,2.4104,2.3586,2.2993,2.239,2.1829,2.1343,2.0945,2.0653,2.0502,2.0497,2.0624,2.0857,2.119,2.1773,2.2957,2.4995,2.7268,4.5,74.5,95.6,CL,N,N,N,N
95B4A,1.7368,1.7497,1.7614,1.784,1.8165,1.8532,1.8812,1.9013,1.9221,1.9467,1.9751,2.0022,2.025,2.0513,2.098,2.1755,2.2938,2.4212,2.4936,2.5095,2.4926,2.4536,2.4009,2.3403,2.278,2.2199,2.1692,2.1272,2.0959,2.0789,2.0765,2.0876,2.1091,2.1402,2.196,2.312,2.5139,2.7412,4.5,74.5,95.6,CL,N,N,N,N
95BC,2.17952,2.10451,2.06441,2.06138,2.07971,2.106,2.1241,2.13636,2.15253,2.17624,2.20717,2.24011,2.2708,2.30579,2.35951,2.44083,2.56103,2.68602,2.74177,2.72995,2.68144,2.6112,2.52994,2.44435,2.36143,2.28754,2.22578,2.17758,2.14451,2.13025,2.1347,2.15582,2.18981,2.23466,2.30685,2.44684,2.68427,2.94887,4.5,74.2,95.6,CL,N,N,N,N
95HSB21A,1.84232,1.85106,1.86157,1.88625,1.92288,1.96426,1.99507,2.0169,2.03952,2.06696,2.09897,2.13023,2.15714,2.18921,2.24594,2.33888,2.47891,2.62954,2.71018,2.71946,2.68991,2.63683,2.57083,2.49829,2.42609,2.36033,2.30404,2.25845,2.2251,2.20778,2.20716,2.22179,2.24864,2.28655,2.35304,2.48847,2.72186,2.98001,4.4,74.5,95.6,CL,N,N,N,N
95HSB21B,1.87405,1.87974,1.88875,1.91339,1.95056,1.99244,2.02317,2.04468,2.06732,2.09488,2.12736,2.15924,2.18684,2.22,2.27848,2.3737,2.51679,2.67046,2.75085,2.75715,2.72399,2.6678,2.59952,2.52556,2.45263,2.38666,2.33055,2.28538,2.25261,2.2359,2.23605,2.25175,2.27977,2.31938,2.38767,2.52656,2.76483,3.02732,4.4,74.5,95.6,CL,N,N,N,N
95B16A,1.9446,1.9574,1.9722,1.9998,2.0383,2.0811,2.1137,2.1377,2.1621,2.1905,2.2229,2.2543,2.2812,2.3124,2.3661,2.4536,2.586,2.7286,2.8057,2.8156,2.7883,2.7378,2.6744,2.6044,2.5343,2.4701,2.4146,2.369,2.3346,2.3152,2.311,2.321,2.3422,2.3736,2.4322,2.558,2.7811,3.0339,4.4,74.5,95.6,CL,N,N,N,N
